"SurveyYear","Sum_Obsv_Moose","Sum_Obsv_Bull","Sum_Obsv_Cow","Sum_Obsv_Calf","Sum_Obsv_Unk","Sum_Sampling_Effort","Sum_Sampling_Effort_WMU","Calculated_Total_Moose","Prop_Bull","Prop_Cow","Prop_Calf","Prop_Unk"
1975,2631,427,576,401,1198,697,702,2602,0.164104534973098,0.221368178324366,0.154112221368178,0.460415065334358
1976,3940,651,948,692,1649,1059,1059,3940,0.165228426395939,0.240609137055838,0.175634517766497,0.418527918781726
1977,2951,541,863,564,983,806,806,2951,0.183327685530329,0.292443239579803,0.19112165367672,0.333107421213148
1978,3016,648,814,545,1009,1079,1079,3016,0.214854111405836,0.269893899204244,0.180702917771883,0.334549071618037
1979,2821,610,858,503,826,899,899,2797,0.21809081158384,0.306757239899893,0.179835538076511,0.295316410439757
1980,2348,515,563,373,897,807,807,2348,0.219335604770017,0.239778534923339,0.15885860306644,0.382027257240204
1981,3449,763,938,675,1073,892,892,3449,0.221223543055958,0.271962887793563,0.195708901130763,0.311104668019716
1982,4469,1034,1314,744,1377,1042,1042,4469,0.23137167151488,0.29402550906243,0.166480196912061,0.308122622510629
1983,3837,1129,1405,759,544,803,803,3837,0.294240291894709,0.366171488141777,0.197810789679437,0.141777430284076
1984,4979,1574,1767,849,789,1072,1072,4979,0.316127736493272,0.35489054026913,0.170516167905202,0.158465555332396
1985,5257,1537,1976,911,833,1018,1018,5257,0.292372075328134,0.37587977934183,0.173292752520449,0.158455392809587
1986,4509,1330,1745,801,630,850,850,4506,0.295162006213937,0.387261429205504,0.177762982689747,0.139813581890812
1987,4214,1168,1582,786,678,711,711,4214,0.277171333649739,0.375415282392027,0.186521120075937,0.160892263882297
1988,5801,1593,2357,1184,667,905,905,5801,0.274607826236856,0.406309257024651,0.20410274090674,0.114980175831753
1989,4008,1179,1801,795,233,733,733,4008,0.294161676646707,0.44935129740519,0.198353293413174,0.0581337325349301
1990,6003,1747,2402,1059,795,1045,1045,6003,0.291021156088622,0.400133266699983,0.176411794102949,0.132433783108446
1991,4357,1209,1669,656,823,639,639,4357,0.277484507688777,0.383061739729171,0.150562313518476,0.188891439063576
1992,5429,1317,2084,945,1083,776,776,5429,0.242586111622767,0.383864431755388,0.174065205378523,0.199484251243323
1993,2860,540,1026,407,887,392,392,2860,0.188811188811189,0.358741258741259,0.142307692307692,0.31013986013986
1994,5015,1098,1694,714,1509,540,540,5015,0.218943170488534,0.337786640079761,0.142372881355932,0.300897308075773
1995,4493,976,1538,671,1308,637,637,4493,0.217226797240151,0.342310260405075,0.149343423102604,0.29111951925217
1996,7449,1968,3030,1302,1149,1139,1139,7449,0.264196536447845,0.40676600886025,0.174788562223117,0.154248892468788
1997,4407,1244,1977,741,445,871,862,4407,0.282278193782619,0.44860449285228,0.168141592920354,0.100975720444747
